Poet,Title,Poem
LANGSTON HUGHES,50-50,"I’m all alone in this world, she said,
Ain’t got nobody to share my bed,
Ain’t got nobody to hold my hand—
The truth of the matter’s
I ain’t got no man.

Big Boy opened his mouth and said,
Trouble with you is
You ain’t got no head!
If you had a head and used your mind
You could have me with you
All the time.

She answered, Babe, what must I do?

He said, Share your bed—
And your money, too."
LANGSTON HUGHES,Boogie: 1 A.M.,"Good evening, daddy!
I know you’ve heard
The boogie-woogie rumble
Of a dream deferred
Trilling the treble
And twining the bass
Into midnight ruffles
Of cat-gut lace."
LANGSTON HUGHES,Black Maria,"Must be the black Maria
That I see,
The black Maria that I see
But I hope it
Ain't comin' for me.

Hear that music playin' upstairs?
Aw, my heart is
Full of cares
But that music playin' upstairs
Is for me.
Babe, did you ever
See de sun"
LANGSTON HUGHES,"BLUES IN STEREO 
","YOUR NUMBER'S COMING OUT! BOUQUETS I'LL SEND YOU AND DREAMS I'LL SEND YOU AND HORSES SHOD WITH GOLD ON WHICH TO RIDE IF MOTOR CARS WOULD BE TOO TAME- TRIUMPHAL ENTRY SEND YOU-SHOUTS FROM THE EARTH ITSELF BARE FEET TO BEAT THE GREAT DRUM BEAT OF GLORY TO YOUR NAME AND MINE-ONE AND THE SAME: YOU BAREFOOT, TOO, IN THE QUARTER OF THE NEGROES WHERE AN ANCIENT RIVER FLOWS PAST HUTS THAT HOUSE A MILLION BLACKS AND THE WHITE GOD NEVER GOES FOR THE MOON WOULD WHITE HIS WHITENESS BEYOND ITS MASK OF WHITENESS AND T. NIGHT MIGHT BE ASTONISHED AND SO LOSE ITS REPOSE. 
IN A TOWN NAMED AFTER STANLEY NIGHT EACH NIGHT COMES NIGHTLY 
"
LANGSTON HUGHES,Brass Spittoons,"Clean the spittoons, boy.
      Detroit,
      Chicago,
      Atlantic City,
      Palm Beach.
Clean the spittoons.
The steam in hotel kitchens,
And the smoke in hotel lobbies,
And the slime in hotel spittoons:
Part of my life.
      Hey, boy!
      A nickel,
      A dime,
      A dollar,
Two dollars a day.
      Hey, boy!
      A nickel,
      A dime,
      A dollar,
      Two dollars
Buy shoes for the baby.
House rent to pay.
Gin on Saturday,
Church on Sunday.
      My God!
Babies and gin and church
And women and Sunday
All mixed with dimes and
Dollars and clean spittoons
And house rent to pay.
      Hey, boy!
A bright bowl of brass is beautiful to the Lord.
Bright polished brass like the cymbals
Of King David’s dancers,
Like the wine cups of Solomon.
      Hey, boy!
A clean spittoon on the altar of the Lord.
A clean bright spittoon all newly polished—
At least I can offer that.
      Com’mere, boy!
"
LANGSTON HUGHES,Catch,"Big Boy came
Carrying a mermaid   
On his shoulders   
And the mermaid   
Had her tail
Curved
Beneath his arm.

Being a fisher boy,
He’d found a fish
To carry—
Half fish,   
Half girl   
To marry.
"
LANGSTON HUGHES,Cross,"My old man’s a white old man
And my old mother’s black.
If ever I cursed my white old man
I take my curses back.
 
If ever I cursed my black old mother
And wished she were in hell,
I’m sorry for that evil wish
And now I wish her well.
 
My old man died in a fine big house.
My ma died in a shack.
I wonder where I’m gonna die,
Being neither white nor black?"
LANGSTON HUGHES,"Daybreak in Alabama
","When I get to be a colored composer
I'm gonna write me some music about
Daybreak in Alabama
And I'm gonna put the purtiest songs in it
Rising out of the ground like a swamp mist
And falling out of heaven like soft dew
I'm gonna put some tall tall trees in it
And the scent of pine needles
And the smell of red clay after rain
And long red necks
And poppy colored faces
And big brown arms
And the field daisy eyes
Of black and white black white black people
And I'm gonna put white hands
And black hands and brown and yellow hands
And red clay earth hands in it
Touching everybody with kind fingers
Touching each other natural as dew
In that dawn of music when I
Get to be a colored composer
And write about daybreak
In Alabama."
LANGSTON HUGHES,"Dream Boogie
","Good morning, daddy!
Ain’t you heard
The boogie-woogie rumble
Of a dream deferred?
 
Listen closely:
You’ll hear their feet
Beating out and beating out a—
 
            You think
            It’s a happy beat?
 
Listen to it closely:
Ain’t you heard
something underneath
like a—
 
            What did I say?
 
Sure,
I’m happy!
Take it away!
 
            Hey, pop!
            Re-bop!
            Mop!
 
            Y-e-a-h!"
LANGSTON HUGHES,"Dream Dust
","Gather out of star-dust
            Earth-dust,
            Cloud-dust,
And splinters of hail,
One handful of dream-dust
            Not for sale."
LANGSTON HUGHES,"Easy Boogie
","Down in the bass
That steady beat
Walking walking walking
Like marching feet.
 
Down in the bass
That easy roll,
Rolling like I like it
In my soul.
 
            Riffs, smears, breaks.
 
Hey, Lawdy, Mama!
Do you hear what I said?
Easy like I rock it
In my bed!"
LANGSTON HUGHES,"Flatted Fifths
","Little cullud boys with beards
re-bop be-bop mop and stop.
 
Little cullud boys with fears,
frantic, kick their CC years
into flatted fifths and flatter beers
that at a sudden change become
sparkling Oriental wines
rich and strange
silken bathrobes with gold twines
and Heilbroner, Crawford,
Nat-undreamed-of Lewis combines
in silver thread and diamond notes
on trade-marks inside
Howard coats.
 
Little cullud boys in berets
            oop pop-a-da
horse a fantasy of days
            ool ya koo
and dig all plays."
LANGSTON HUGHES,"Freedom
","Freedom will not come
Today, this year
            Nor ever
Through compromise and fear.
 
I have as much right
As the other fellow has
            To stand
On my two feet
And own the land.
 
I tire so of hearing people say,
Let things take their course.
Tomorrow is another day.
I do not need my freedom when I’m dead.
I cannot live on tomorrow’s bread.
            Freedom
            Is a strong seed
            Planted
            In a great need.
            I live here, too.
            I want my freedom
            Just as you.   "
LANGSTON HUGHES,Harlem,"What happens to a dream deferred?

      Does it dry up
      like a raisin in the sun?
      Or fester like a sore—
      And then run?
      Does it stink like rotten meat?
      Or crust and sugar over—
      like a syrupy sweet?

      Maybe it just sags
      like a heavy load.

      Or does it explode?"
LANGSTON HUGHES,"Harlem Sweeties
","Have you dug the spill
Of Sugar Hill?
Cast your gims
On this sepia thrill:
Brown sugar lassie,
Caramel treat,
Honey-gold baby
Sweet enough to eat.
Peach-skinned girlie,
Coffee and cream,
Chocolate darling
Out of a dream.
Walnut tinted
Or cocoa brown,
Pomegranate-lipped
Pride of the town.
Rich cream-colored
To plum-tinted black,
Feminine sweetness
In Harlem’s no lack.
Glow of the quince
To blush of the rose.
Persimmon bronze
To cinnamon toes.
Blackberry cordial,
Virginia Dare wine—
All those sweet colors
Flavor Harlem of mine!
Walnut or cocoa,
Let me repeat:
Caramel, brown sugar,
A chocolate treat.
Molasses taffy,
Coffee and cream,
Licorice, clove, cinnamon
To a honey-brown dream.
Ginger, wine-gold,
Persimmon, blackberry,
All through the spectrum
Harlem girls vary—
So if you want to know beauty’s
Rainbow-sweet thrill,
Stroll down luscious,
Delicious, fine Sugar Hill."
LANGSTON HUGHES,Hope,"Sometimes when I’m lonely,
Don’t know why,
Keep thinkin’ I won’t be lonely
By and by."
LANGSTON HUGHES,"I, Too","I, too, sing America.

I am the darker brother.
They send me to eat in the kitchen
When company comes,
But I laugh,
And eat well,
And grow strong.

Tomorrow,
I’ll be at the table
When company comes.
Nobody’ll dare
Say to me,
“Eat in the kitchen,”
Then.

Besides,
They’ll see how beautiful I am
And be ashamed—

I, too, am America."
LANGSTON HUGHES,"If-ing
","If I had some small change
I’d buy me a mule,
Get on that mule and
Ride like a fool.
 
If I had some greenbacks
I’d buy me a Packard,
Fill it up with gas and
Drive that baby backward.
 
If I had a million
I’d get me a plane
And everybody in America’d
Think I was insane.
 
But I ain’t got a million,
Fact is, ain’t got a dime—
So just by if-ing
I have a good time!"
LANGSTON HUGHES,"Lady’s Boogie
","See that lady
Dressed so fine?
She ain’t got boogie-woogie
On her mind—
 
But if she was to listen
I bet she’d hear,
Way up in the treble
The tingle of a tear.
 
            Be-Bach!"
LANGSTON HUGHES,"Let America Be America Again
","Let America be America again.
Let it be the dream it used to be.
Let it be the pioneer on the plain
Seeking a home where he himself is free.
 
(America never was America to me.)
 
Let America be the dream the dreamers dreamed—
Let it be that great strong land of love
Where never kings connive nor tyrants scheme
That any man be crushed by one above.
 
(It never was America to me.)
 
O, let my land be a land where Liberty
Is crowned with no false patriotic wreath,
But opportunity is real, and life is free,
Equality is in the air we breathe.
 
(There's never been equality for me,
Nor freedom in this ""homeland of the free."")
 
Say, who are you that mumbles in the dark?
And who are you that draws your veil across the stars?
 
I am the poor white, fooled and pushed apart,
I am the Negro bearing slavery's scars.
I am the red man driven from the land,
I am the immigrant clutching the hope I seek—
And finding only the same old stupid plan
Of dog eat dog, of mighty crush the weak.
 
I am the young man, full of strength and hope,
Tangled in that ancient endless chain
Of profit, power, gain, of grab the land!
Of grab the gold! Of grab the ways of satisfying need!
Of work the men! Of take the pay!
Of owning everything for one's own greed!
 
I am the farmer, bondsman to the soil.
I am the worker sold to the machine.
I am the Negro, servant to you all.
I am the people, humble, hungry, mean—
Hungry yet today despite the dream.
Beaten yet today—O, Pioneers!
I am the man who never got ahead,
The poorest worker bartered through the years.
 
Yet I'm the one who dreamt our basic dream
In the Old World while still a serf of kings,
Who dreamt a dream so strong, so brave, so true,
That even yet its mighty daring sings
In every brick and stone, in every furrow turned
That's made America the land it has become.
O, I'm the man who sailed those early seas
In search of what I meant to be my home—
For I'm the one who left dark Ireland's shore,
And Poland's plain, and England's grassy lea,
And torn from Black Africa's strand I came
To build a ""homeland of the free.""
 
The free?
 
Who said the free?  Not me?
Surely not me?  The millions on relief today?
The millions shot down when we strike?
The millions who have nothing for our pay?
For all the dreams we've dreamed
And all the songs we've sung
And all the hopes we've held
And all the flags we've hung,
The millions who have nothing for our pay—
Except the dream that's almost dead today.
 
O, let America be America again—
The land that never has been yet—
And yet must be—the land where every man is free.
The land that's mine—the poor man's, Indian's, Negro's, ME—
Who made America,
Whose sweat and blood, whose faith and pain,
Whose hand at the foundry, whose plow in the rain,
Must bring back our mighty dream again.
 
Sure, call me any ugly name you choose—
The steel of freedom does not stain.
From those who live like leeches on the people's lives,
We must take back our land again,
America!
 
O, yes,
I say it plain,
America never was America to me,
And yet I swear this oath—
America will be!
 
Out of the rack and ruin of our gangster death,
The rape and rot of graft, and stealth, and lies,
We, the people, must redeem
The land, the mines, the plants, the rivers.
The mountains and the endless plain—
All, all the stretch of these great green states—
And make America again!"
LANGSTON HUGHES,"Lincoln Theatre
","The head of Lincoln looks down from the wall
While movies echo dramas on the screen.
The head of Lincoln is serenely tall
Above a crowd of black folk, humble, mean.
The movies end. The lights flash gaily on.
The band down in the pit bursts into jazz.
The crowd applauds a plump brown-skin bleached
blonde
Who sings the troubles every woman has.
She snaps her fingers, slowly shakes her hips,
And cries, all careless-like from reddened lips!
De man I loves has
Gone and done me wrong ...
While girls who wash rich white folks clothes by day
And sleek-haired boys who deal in love for pay
Press hands together, laughing at her song."
LANGSTON HUGHES,"Madam’s Past History
","My name is Johnson—
Madam Alberta K.
The Madam stands for business.   
I’m smart that way.

I had a
HAIR-DRESSING PARLOR   
Before
The depression put
The prices lower.

Then I had a
BARBECUE STAND   
Till I got mixed up   
With a no-good man.

Cause I had a insurance   
The WPA
Said, We can’t use you   
Wealthy that way.

I said,
DON’T WORRY ’BOUT ME!
Just like the song,
You WPA folks take care of yourself—
And I’ll get along.

I do cooking,
Day’s work, too!
Alberta K. Johnson—
Madam to you.
"
LANGSTON HUGHES,"Morning After
","I was so sick last night I
Didn’t hardly know my mind.
So sick last night I
Didn’t know my mind.
I drunk some bad licker that
Almost made me blind.

Had a dream last night I
Thought I was in hell.
I drempt last night I
Thought I was in hell.
Woke up and looked around me—
Babe, your mouth was open like a well.

I said, Baby! Baby!
Please don’t snore so loud.
Baby! Please!
Please don’t snore so loud.
You jest a little bit o’ woman but you
Sound like a great big crowd."
LANGSTON HUGHES,"Mother to Son
","Well, son, I’ll tell you:
Life for me ain’t been no crystal stair.
It’s had tacks in it,
And splinters,
And boards torn up,
And places with no carpet on the floor—
Bare.
But all the time
I’se been a-climbin’ on,
And reachin’ landin’s,
And turnin’ corners,
And sometimes goin’ in the dark
Where there ain’t been no light.
So boy, don’t you turn back.
Don’t you set down on the steps
’Cause you finds it’s kinder hard.
Don’t you fall now—
For I’se still goin’, honey,
I’se still climbin’,
And life for me ain’t been no crystal stair."
LANGSTON HUGHES,Motto,"I play it cool
And dig all jive
That’s the reason
I stay alive.
 
My motto,
As I live and learn,
            is:
Dig And Be Dug
In Return."
LANGSTON HUGHES,"The Negro Speaks of Rivers
","I’ve known rivers:
I’ve known rivers ancient as the world and older than the flow of human blood in human veins.

My soul has grown deep like the rivers.

I bathed in the Euphrates when dawns were young.
I built my hut near the Congo and it lulled me to sleep.
I looked upon the Nile and raised the pyramids above it.
I heard the singing of the Mississippi when Abe Lincoln went down to New Orleans, and I’ve seen its muddy bosom turn all golden in the sunset.

I’ve known rivers:
Ancient, dusky rivers.

My soul has grown deep like the rivers."
LANGSTON HUGHES,Snail,"Little snail,
Dreaming you go.
Weather and rose
Is all you know.
 
Weather and rose
Is all you see,
Drinking
The dewdrop’s
Mystery."
LANGSTON HUGHES,"Suicide's Note
","The calm, 
Cool face of the river
Asked me for a kiss. "
LANGSTON HUGHES,"Theme for English B
","The instructor said,

      Go home and write
      a page tonight.
      And let that page come out of you—
      Then, it will be true.

I wonder if it’s that simple?
I am twenty-two, colored, born in Winston-Salem.   
I went to school there, then Durham, then here   
to this college on the hill above Harlem.   
I am the only colored student in my class.   
The steps from the hill lead down into Harlem,   
through a park, then I cross St. Nicholas,   
Eighth Avenue, Seventh, and I come to the Y,   
the Harlem Branch Y, where I take the elevator   
up to my room, sit down, and write this page:

It’s not easy to know what is true for you or me   
at twenty-two, my age. But I guess I’m what
I feel and see and hear, Harlem, I hear you.
hear you, hear me—we two—you, me, talk on this page.   
(I hear New York, too.) Me—who?

Well, I like to eat, sleep, drink, and be in love.   
I like to work, read, learn, and understand life.   
I like a pipe for a Christmas present,
or records—Bessie, bop, or Bach.
I guess being colored doesn’t make me not like
the same things other folks like who are other races.   
So will my page be colored that I write?   
Being me, it will not be white.
But it will be
a part of you, instructor.
You are white—
yet a part of me, as I am a part of you.
That’s American.
Sometimes perhaps you don’t want to be a part of me.   
Nor do I often want to be a part of you.
But we are, that’s true!
As I learn from you,
I guess you learn from me—
although you’re older—and white—
and somewhat more free.

This is my page for English B."
LANGSTON HUGHES,"The Weary Blues
","Droning a drowsy syncopated tune,
Rocking back and forth to a mellow croon,
I heard a Negro play.
Down on Lenox Avenue the other night
By the pale dull pallor of an old gas light
He did a lazy sway. . . .
He did a lazy sway. . . .
To the tune o’ those Weary Blues.
With his ebony hands on each ivory key
He made that poor piano moan with melody.
O Blues!
Swaying to and fro on his rickety stool
He played that sad raggy tune like a musical fool.
Sweet Blues!
Coming from a black man’s soul.
O Blues!
In a deep song voice with a melancholy tone
I heard that Negro sing, that old piano moan—
“Ain’t got nobody in all this world,
Ain’t got nobody but ma self.
I’s gwine to quit ma frownin’
And put ma troubles on the shelf.”

Thump, thump, thump, went his foot on the floor.
He played a few chords then he sang some more—
“I got the Weary Blues
And I can’t be satisfied.
Got the Weary Blues
And can’t be satisfied—
I ain’t happy no mo’
And I wish that I had died.”
And far into the night he crooned that tune.
The stars went out and so did the moon.
The singer stopped playing and went to bed
While the Weary Blues echoed through his head.
He slept like a rock or a man that’s dead."
LANGSTON HUGHES,"Winter Moon
","How thin and sharp is the moon tonight!
How thin and sharp and ghostly white
Is the slim curved crook of the moon tonight!"
GWENDOLYN BROOKS,"An Aspect of Love, Alive in the Ice and Fire
","In a package of minutes there is this We.
How beautiful.
Merry foreigners in our morning,
we laugh, we touch each other, 
are responsible props and posts.

A physical light is in the room.

Because the world is at the window
we cannot wonder very long.

You rise. Although
genial, you are in yourself again.
I observe
your direct and respectable stride.
You are direct and self-accepting as a lion
in Afrikan velvet. You are level, lean,
remote.


There is a moment in Camaraderie
when interruption is not to be understood.
I cannot bear an interruption.
This is the shining joy;
the time of not-to-end.

On the street we smile.
We go
in different directions
down the imperturbable street."
GWENDOLYN BROOKS,"The Ballad of Rudolph Reed
","Rudolph Reed was oaken.
His wife was oaken too.
And his two good girls and his good little man
Oakened as they grew.

“I am not hungry for berries.
I am not hungry for bread.
But hungry hungry for a house
Where at night a man in bed

”May never hear the plaster
Stir as if in pain.
May never hear the roaches
Falling like fat rain.

“Where never wife and children need
Go blinking through the gloom.
Where every room of many rooms
Will be full of room.

”Oh my home may have its east or west
Or north or south behind it.
All I know is I shall know it,
And fight for it when I find it.“

It was in a street of bitter white
That he made his application.
For Rudolph Reed was oakener
Than others in the nation.

The agent’s steep and steady stare
Corroded to a grin.
Why, you black old, tough old hell of a man,
Move your family in!


Nary a grin grinned Rudolph Reed,
Nary a curse cursed he,
But moved in his House. With his dark little wife,
And his dark little children three.

A neighbor would look, with a yawning eye
That squeezed into a slit.
But the Rudolph Reeds and the children three
Were too joyous to notice it.

For were they not firm in a home of their own
With windows everywhere
And a beautiful banistered stair
And a front yard for flowers and a back yard for grass?

The first night, a rock, big as two fists.
The second, a rock big as three.
But nary a curse cursed Rudolph Reed.
(Though oaken as man could be.)

The third night, a silvery ring of glass.
Patience ached to endure.
But he looked, and lo! small Mabel’s blood
Was staining her gaze so pure.

Then up did rise our Rudolph Reed
And pressed the hand of his wife,
And went to the door with a thirty-four
And a beastly butcher knife.

He ran like a mad thing into the night.
And the words in his mouth were stinking.
By the time he had hurt his first white man
He was no longer thinking.

By the time he had hurt his fourth white man
Rudolph Reed was dead.
His neighbors gathered and kicked his corpse.
”Nigger—“ his neighbors said.

Small Mabel whimpered all night long,
For calling herself the cause.
Her oak-eyed mother did no thing
But change the bloody gauze."
GWENDOLYN BROOKS,"The Blackstone Rangers
","I
AS SEEN BY DISCIPLINES


There they are.
Thirty at the corner.   
Black, raw, ready.
Sores in the city
that do not want to heal.



II
THE LEADERS


Jeff. Gene. Geronimo. And Bop.
They cancel, cure and curry.
Hardly the dupes of the downtown thing   
the cold bonbon,
the rhinestone thing. And hardly
in a hurry.
Hardly Belafonte, King,
Black Jesus, Stokely, Malcolm X or Rap.   
Bungled trophies.
Their country is a Nation on no map.

Jeff, Gene, Geronimo and Bop
in the passionate noon,
in bewitching night
are the detailed men, the copious men.
They curry, cure,
they cancel, cancelled images whose Concerts   
are not divine, vivacious; the different tins   
are intense last entries; pagan argument;
translations of the night.

The Blackstone bitter bureaus
(bureaucracy is footloose) edit, fuse
unfashionable damnations and descent;
and exulting, monstrous hand on monstrous hand,   
construct, strangely, a monstrous pearl or grace.



III
GANG GIRLS

A Rangerette


Gang Girls are sweet exotics.
Mary Ann
uses the nutrients of her orient,
but sometimes sighs for Cities of blue and jewel   
beyond her Ranger rim of Cottage Grove.   
(Bowery Boys, Disciples, Whip-Birds will   
dissolve no margins, stop no savory sanctities.)

Mary is
a rose in a whiskey glass.

Mary’s
Februaries shudder and are gone. Aprils   
fret frankly, lilac hurries on.
Summer is a hard irregular ridge.
October looks away.
And that’s the Year!
                     Save for her bugle-love.   
Save for the bleat of not-obese devotion.
Save for Somebody Terribly Dying, under
the philanthropy of robins. Save for her Ranger   
bringing
an amount of rainbow in a string-drawn bag.   
“Where did you get the diamond?” Do not ask:   
but swallow, straight, the spirals of his flask   
and assist him at your zipper; pet his lips
and help him clutch you.

Love’s another departure.
Will there be any arrivals, confirmations?   
Will there be gleaning?

Mary, the Shakedancer’s child
from the rooming-flat, pants carefully, peers at   
her laboring lover ....
                     Mary! Mary Ann!
Settle for sandwiches! settle for stocking caps!   
for sudden blood, aborted carnival,
the props and niceties of non-loneliness—
the rhymes of Leaning."
GWENDOLYN BROOKS,Boy Breaking Glass,"To Marc Crawford
from whom the commission

Whose broken window is a cry of art   
(success, that winks aware
as elegance, as a treasonable faith)
is raw: is sonic: is old-eyed première.
Our beautiful flaw and terrible ornament.   
Our barbarous and metal little man.

“I shall create! If not a note, a hole.   
If not an overture, a desecration.”

Full of pepper and light
and Salt and night and cargoes.

“Don’t go down the plank
if you see there’s no extension.   
Each to his grief, each to
his loneliness and fidgety revenge.
Nobody knew where I was and now I am no longer there.”

The only sanity is a cup of tea.   
The music is in minors.

Each one other
is having different weather.

“It was you, it was you who threw away my name!   
And this is everything I have for me.”

Who has not Congress, lobster, love, luau,   
the Regency Room, the Statue of Liberty,   
runs. A sloppy amalgamation.
A mistake.
A cliff.
A hymn, a snare, and an exceeding sun."
GWENDOLYN BROOKS,Jessie Mitchell’s Mother,"Into her mother’s bedroom to wash the ballooning body.   
“My mother is jelly-hearted and she has a brain of jelly:   
Sweet, quiver-soft, irrelevant. Not essential.
Only a habit would cry if she should die.
A pleasant sort of fool without the least iron. . . .
Are you better, mother, do you think it will come today?”   
The stretched yellow rag that was Jessie Mitchell’s mother   
Reviewed her. Young, and so thin, and so straight.   
So straight! as if nothing could ever bend her.
But poor men would bend her, and doing things with poor men,
Being much in bed, and babies would bend her over,
And the rest of things in life that were for poor women,   
Coming to them grinning and pretty with intent to bend and to kill.
Comparisons shattered her heart, ate at her bulwarks:
The shabby and the bright: she, almost hating her daughter,   
Crept into an old sly refuge: “Jessie’s black
And her way will be black, and jerkier even than mine.   
Mine, in fact, because I was lovely, had flowers
Tucked in the jerks, flowers were here and there. . . .”
She revived for the moment settled and dried-up triumphs,
Forced perfume into old petals, pulled up the droop,   
Refueled
Triumphant long-exhaled breaths.
Her exquisite yellow youth . . ."
